Date,AAPL,MSFT,XOM,BP
2017-05-02,147.50999450683594,69.30000305175781,82.05000305175781,34.75
2017-05-03,147.05999755859375,69.08000183105469,82.69999694824219,34.689998626708984
2017-05-04,146.52999877929688,68.80999755859375,81.63999938964844,34.31999969482422
2017-05-05,148.9600067138672,69.0,82.0199966430664,35.29999923706055
2017-05-08,153.00999450683594,68.94000244140625,82.88999938964844,35.43000030517578
2017-05-09,153.99000549316406,69.04000091552734,82.30999755859375,35.349998474121094
2017-05-10,153.25999450683594,69.30999755859375,81.91000366210938,35.0099983215332
2017-05-11,153.9499969482422,68.45999908447266,82.61000061035156,35.209999084472656
2017-05-12,156.10000610351562,68.37999725341797,82.55000305175781,35.38999938964844
2017-05-15,155.6999969482422,68.43000030517578,82.80000305175781,35.709999084472656
2017-05-16,155.47000122070312,69.41000366210938,82.55000305175781,36.2400016784668
2017-05-17,150.25,67.4800033569336,81.98999786376953,36.16999816894531
2017-05-18,152.5399932861328,67.70999908447266,81.75,36.5099983215332
2017-05-19,153.05999755859375,67.69000244140625,81.93000030517578,36.939998626708984
2017-05-22,153.99000549316406,68.44999694824219,82.29000091552734,36.959999084472656
2017-05-23,153.8000030517578,68.68000030517578,82.58000183105469,36.93000030517578
2017-05-24,153.33999633789062,68.7699966430664,82.29000091552734,36.900001525878906
2017-05-25,153.8699951171875,69.62000274658203,81.75,36.400001525878906
2017-05-26,153.61000061035156,69.95999908447266,81.55000305175781,36.40999984741211
2017-05-30,153.6699981689453,70.41000366210938,81.0999984741211,36.27000045776367
2017-05-31,152.75999450683594,69.83999633789062,80.5,36.150001525878906
2017-06-01,153.17999267578125,70.0999984741211,80.69999694824219,36.2400016784668
2017-06-02,155.4499969482422,71.76000213623047,79.5,35.90999984741211
2017-06-05,153.92999267578125,72.27999877929688,80.12000274658203,36.08000183105469
2017-06-06,154.4499969482422,72.5199966430664,81.20999908447266,36.2400016784668
2017-06-07,155.3699951171875,72.38999938964844,80.91000366210938,35.41999816894531
2017-06-08,154.99000549316406,71.94999694824219,80.62000274658203,35.40999984741211
2017-06-09,148.97999572753906,70.31999969482422,82.12999725341797,35.83000183105469
2017-06-12,145.4199981689453,69.77999877929688,82.93000030517578,35.810001373291016
2017-06-13,146.58999633789062,70.6500015258789,82.95999908447266,36.029998779296875
2017-06-14,145.16000366210938,70.2699966430664,82.06999969482422,35.369998931884766
2017-06-15,144.2899932861328,69.9000015258789,82.26000213623047,35.2400016784668
2017-06-16,142.27000427246094,70.0,83.48999786376953,36.0
2017-06-19,146.33999633789062,70.87000274658203,82.76000213623047,36.040000915527344
2017-06-20,145.00999450683594,69.91000366210938,82.30999755859375,34.97999954223633
2017-06-21,145.8699951171875,70.2699966430664,81.44000244140625,34.650001525878906
2017-06-22,145.6300048828125,70.26000213623047,81.08000183105469,34.599998474121094
2017-06-23,146.27999877929688,71.20999908447266,81.61000061035156,34.84000015258789
2017-06-26,145.82000732421875,70.52999877929688,81.23999786376953,34.880001068115234
